                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.57505,                0.70518,                  1.162,                0.81545,                0.77862,                0.84405,                0.71553,                  0.681,                 0.8259,                 1.1473,             0.00064171,             0.00064171,             0.00064171
                     67,                0.56232,                0.66656,                 1.1433,                0.82709,                0.75931,                0.83926,                0.71001,                0.67584,                0.82887,                 1.1358,             0.00063438,             0.00063438,             0.00063438
                     68,                0.55318,                0.65959,                  1.143,                0.84876,                0.75811,                0.83991,                 0.7098,                 0.6538,                0.78462,                 1.1266,             0.00062705,             0.00062705,             0.00062705
                     69,                0.55208,                0.65823,                  1.145,                0.79774,                0.79563,                0.82674,                 0.6934,                0.68169,                0.84417,                  1.155,             0.00061972,             0.00061972,             0.00061972
                     70,                0.56174,                0.65161,                 1.1412,                0.81336,                0.76364,                0.82138,                 0.6953,                0.68054,                0.85286,                 1.1475,             0.00061238,             0.00061238,             0.00061238
                     71,                0.56188,                0.66359,                 1.1455,                0.79214,                0.75941,                0.82694,                0.69724,                0.66996,                  0.857,                 1.1352,             0.00060505,             0.00060505,             0.00060505
                     72,                0.56318,                0.68359,                 1.1467,                0.82182,                0.76524,                0.84975,                0.72016,                0.67535,                0.83963,                 1.1326,             0.00059772,             0.00059772,             0.00059772
                     73,                0.56203,                0.65448,                 1.1488,                0.82585,                 0.7499,                0.83482,                0.71011,                0.66899,                0.83462,                 1.1392,             0.00059039,             0.00059039,             0.00059039
                     74,                0.55999,                0.67222,                 1.1552,                0.81311,                0.78267,                0.83883,                0.70832,                0.66864,                0.79153,                 1.1386,             0.00058305,             0.00058305,             0.00058305
                     75,                0.54919,                 0.6213,                 1.1419,                0.82513,                0.77956,                0.83549,                0.70904,                0.66896,                0.82165,                 1.1442,             0.00057572,             0.00057572,             0.00057572
                     76,                0.55308,                0.63509,                 1.1507,                0.85451,                0.77999,                0.84238,                0.71449,                0.68277,                0.85218,                 1.1465,             0.00056839,             0.00056839,             0.00056839
                     77,                 0.5492,                0.61577,                 1.1364,                0.77969,                0.81766,                0.83825,                0.70369,                0.68662,                0.85975,                 1.1869,             0.00056105,             0.00056105,             0.00056105
                     78,                0.52405,                0.60747,                 1.1258,                0.85531,                0.75512,                0.84054,                0.71535,                0.66765,                0.82889,                 1.1365,             0.00055372,             0.00055372,             0.00055372
                     79,                0.55388,                0.63029,                 1.1423,                0.86081,                0.74648,                0.83768,                0.71815,                 0.6674,                0.84035,                  1.141,             0.00054639,             0.00054639,             0.00054639
                     80,                0.54342,                0.61371,                 1.1395,                0.82794,                0.79134,                0.84994,                0.72401,                 0.6711,                0.81843,                  1.128,             0.00053906,             0.00053906,             0.00053906
                     81,                0.53951,                0.59876,                 1.1324,                0.84993,                0.76127,                0.82949,                0.71011,                0.65792,                0.84496,                 1.1308,             0.00053172,             0.00053172,             0.00053172
                     82,                0.54298,                0.61221,                 1.1392,                 0.8341,                0.76692,                0.84207,                0.72076,                0.65735,                0.80139,                 1.1294,             0.00052439,             0.00052439,             0.00052439
                     83,                0.53386,                0.61571,                 1.1306,                0.84172,                0.76498,                0.84288,                0.72135,                0.65318,                0.82291,                 1.1137,             0.00051706,             0.00051706,             0.00051706
                     84,                0.54031,                0.60723,                 1.1378,                0.80984,                0.74138,                0.82449,                0.69615,                0.68424,                 0.9052,                 1.1482,             0.00050973,             0.00050973,             0.00050973
                     85,                0.52282,                0.59307,                 1.1183,                0.86148,                0.79774,                 0.8416,                0.71997,                 0.6643,                0.83195,                 1.1207,             0.00050239,             0.00050239,             0.00050239
                     86,                0.52567,                0.59958,                 1.1261,                0.86012,                 0.7672,                0.83292,                0.70987,                 0.6574,                0.81246,                 1.1269,             0.00049506,             0.00049506,             0.00049506
                     87,                0.53107,                0.61188,                 1.1279,                0.84442,                0.79594,                0.84159,                0.71918,                0.64804,                0.80301,                 1.1163,             0.00048773,             0.00048773,             0.00048773
                     88,                0.56952,                0.60304,                 1.1702,                0.82329,                0.79896,                0.84127,                0.71773,                0.66341,                0.80962,                 1.1288,              0.0004804,              0.0004804,              0.0004804
                     89,                0.52522,                0.57566,                 1.1211,                0.84403,                0.75744,                 0.8476,                0.72568,                0.64296,                0.83069,                 1.1167,             0.00047306,             0.00047306,             0.00047306
                     90,                0.52109,                0.56175,                  1.118,                0.85735,                0.79088,                0.85537,                0.72876,                0.63278,                0.78661,                  1.096,             0.00046573,             0.00046573,             0.00046573
                     91,                0.51848,                0.57193,                   1.12,                0.86547,                0.78213,                 0.8575,                0.73353,                0.64033,                0.80286,                 1.1083,              0.0004584,              0.0004584,              0.0004584
                     92,                0.52017,                 0.5686,                 1.1193,                0.81288,                0.79892,                0.83666,                0.71065,                 0.6651,                0.84404,                 1.1489,             0.00045107,             0.00045107,             0.00045107
                     93,                0.52486,                0.56943,                 1.1212,                0.83069,                0.79956,                 0.8516,                0.72649,                0.66008,                0.83538,                 1.1306,             0.00044373,             0.00044373,             0.00044373
                     94,                0.51629,                0.56271,                 1.1179,                0.84763,                 0.8013,                0.84161,                0.72304,                0.65711,                0.78854,                 1.1283,              0.0004364,              0.0004364,              0.0004364
                     95,                0.51787,                0.57843,                 1.1251,                0.85944,                0.77955,                 0.8556,                0.72864,                0.66534,                0.80746,                 1.1249,             0.00042907,             0.00042907,             0.00042907
                     96,                0.51816,                0.54741,                  1.119,                 0.8242,                0.78973,                0.84404,                0.71757,                0.64763,                0.79975,                 1.1206,             0.00042174,             0.00042174,             0.00042174
                     97,                0.52458,                0.57357,                 1.1253,                0.87809,                0.78201,                0.85684,                0.73144,                  0.647,                0.75943,                 1.1166,              0.0004144,              0.0004144,              0.0004144
                     98,                0.52086,                0.54051,                 1.1223,                0.85425,                0.78533,                0.85453,                0.73045,                0.65196,                0.80309,                 1.1327,             0.00040707,             0.00040707,             0.00040707
                     99,                0.52159,                0.54099,                 1.1283,                0.88191,                0.73371,                0.85594,                0.73191,                0.66672,                0.79479,                 1.1383,             0.00039974,             0.00039974,             0.00039974
                    100,                0.51113,                0.57366,                  1.117,                0.85317,                0.77166,                0.85091,                0.73222,                0.63824,                0.80518,                 1.1206,             0.00039241,             0.00039241,             0.00039241
                    101,                0.50483,                 0.5288,                  1.104,                0.85607,                0.78598,                0.85298,                0.73644,                0.63239,                0.81659,                 1.1117,             0.00038507,             0.00038507,             0.00038507
                    102,                0.52082,                0.55767,                 1.1215,                0.84011,                0.77981,                0.83568,                0.70654,                0.65975,                0.83414,                 1.1263,             0.00037774,             0.00037774,             0.00037774
                    103,                0.50184,                0.54316,                 1.1109,                0.84537,                0.79742,                0.85533,                0.73359,                0.65068,                0.81339,                  1.117,             0.00037041,             0.00037041,             0.00037041
                    104,                0.50903,                0.54296,                 1.1137,                 0.8399,                0.79956,                  0.852,                0.72979,                0.66439,                0.78816,                 1.1282,             0.00036307,             0.00036307,             0.00036307
                    105,                 0.4919,                0.49856,                 1.0936,                0.86437,                0.77226,                0.85406,                0.73693,                0.65438,                0.80033,                 1.1205,             0.00035574,             0.00035574,             0.00035574
                    106,                0.49889,                0.51146,                 1.1058,                0.86588,                0.80159,                0.85936,                0.73357,                0.65409,                0.79906,                 1.1237,             0.00034841,             0.00034841,             0.00034841
